qmof_id,Material ID,,qmof_id,Material ID,,qmof_id,Material ID
qmof-417c826,mp-27980,,qmof-e2ef939,mp-542001,,qmof-8ec55e0,mp-29590
qmof-3eec122,mp-3414,,qmof-e2ef939,mp-28845,,qmof-8ec55e0,mp-556442
qmof-3eec122,mp-542001,,qmof-e2ef939,mp-561423,,qmof-8ec55e0,mp-27980
qmof-3eec122,mp-28845,,qmof-e2ef939,mp-14276,,qmof-55b32f8,mp-3414
qmof-3eec122,mp-561423,,qmof-e2ef939,mp-29590,,qmof-55b32f8,mp-542001
qmof-3eec122,mp-14276,,qmof-e2ef939,mp-556442,,qmof-55b32f8,mp-28845
qmof-3eec122,mp-29590,,qmof-e2ef939,mp-27980,,qmof-55b32f8,mp-561423
qmof-3eec122,mp-556442,,qmof-08021a9,mp-3414,,qmof-55b32f8,mp-14276
qmof-3eec122,mp-27980,,qmof-08021a9,mp-542001,,qmof-55b32f8,mp-29590
qmof-b1e5ed5,mp-3414,,qmof-08021a9,mp-28845,,qmof-55b32f8,mp-556442
qmof-b1e5ed5,mp-542001,,qmof-08021a9,mp-561423,,qmof-55b32f8,mp-27980
qmof-b1e5ed5,mp-28845,,qmof-08021a9,mp-14276,,qmof-b80a30e,mp-3414
qmof-b1e5ed5,mp-561423,,qmof-08021a9,mp-29590,,qmof-b80a30e,mp-542001
qmof-b1e5ed5,mp-14276,,qmof-08021a9,mp-556442,,qmof-b80a30e,mp-28845
qmof-b1e5ed5,mp-29590,,qmof-08021a9,mp-27980,,qmof-b80a30e,mp-561423
qmof-b1e5ed5,mp-556442,,qmof-f0e967a,mp-3414,,qmof-b80a30e,mp-14276
qmof-b1e5ed5,mp-27980,,qmof-f0e967a,mp-542001,,qmof-b80a30e,mp-29590
qmof-096bf27,mp-3414,,qmof-f0e967a,mp-28845,,qmof-b80a30e,mp-556442
qmof-096bf27,mp-542001,,qmof-f0e967a,mp-561423,,qmof-b80a30e,mp-27980
qmof-096bf27,mp-28845,,qmof-f0e967a,mp-14276,,qmof-648d493,mp-3414
qmof-096bf27,mp-561423,,qmof-f0e967a,mp-29590,,qmof-648d493,mp-542001
qmof-096bf27,mp-14276,,qmof-f0e967a,mp-556442,,qmof-648d493,mp-28845
qmof-096bf27,mp-29590,,qmof-f0e967a,mp-27980,,qmof-648d493,mp-561423
qmof-096bf27,mp-556442,,qmof-e647ae3,mp-3414,,qmof-648d493,mp-14276
qmof-096bf27,mp-27980,,qmof-e647ae3,mp-542001,,qmof-648d493,mp-29590
qmof-97f5f79,mp-3414,,qmof-e647ae3,mp-28845,,qmof-648d493,mp-556442
qmof-97f5f79,mp-542001,,qmof-e647ae3,mp-561423,,qmof-648d493,mp-27980
qmof-97f5f79,mp-28845,,qmof-e647ae3,mp-14276,,qmof-e99de19,mp-3414
qmof-97f5f79,mp-561423,,qmof-e647ae3,mp-29590,,qmof-e99de19,mp-542001
qmof-97f5f79,mp-14276,,qmof-e647ae3,mp-556442,,qmof-e99de19,mp-28845
qmof-97f5f79,mp-29590,,qmof-e647ae3,mp-27980,,qmof-e99de19,mp-561423
qmof-97f5f79,mp-556442,,qmof-961be1d,mp-3414,,qmof-e99de19,mp-14276
qmof-97f5f79,mp-27980,,qmof-961be1d,mp-542001,,qmof-e99de19,mp-29590
qmof-aa8159f,mp-3414,,qmof-961be1d,mp-28845,,qmof-e99de19,mp-556442
qmof-aa8159f,mp-542001,,qmof-961be1d,mp-561423,,qmof-e99de19,mp-27980
qmof-aa8159f,mp-28845,,qmof-961be1d,mp-14276,,qmof-5ce2533,mp-3414
qmof-aa8159f,mp-561423,,qmof-961be1d,mp-29590,,qmof-5ce2533,mp-542001
qmof-aa8159f,mp-14276,,qmof-961be1d,mp-556442,,qmof-5ce2533,mp-28845
qmof-aa8159f,mp-29590,,qmof-961be1d,mp-27980,,qmof-5ce2533,mp-561423
qmof-aa8159f,mp-556442,,qmof-59219a7,mp-3414,,qmof-5ce2533,mp-14276
qmof-aa8159f,mp-27980,,qmof-59219a7,mp-542001,,qmof-5ce2533,mp-29590
qmof-f0c1c90,mp-3414,,qmof-59219a7,mp-28845,,qmof-5ce2533,mp-556442
qmof-f0c1c90,mp-542001,,qmof-59219a7,mp-561423,,qmof-5ce2533,mp-27980
qmof-f0c1c90,mp-28845,,qmof-59219a7,mp-14276,,qmof-62058f7,mp-3414
qmof-f0c1c90,mp-561423,,qmof-59219a7,mp-29590,,qmof-62058f7,mp-542001
qmof-f0c1c90,mp-14276,,qmof-59219a7,mp-556442,,qmof-62058f7,mp-28845
qmof-f0c1c90,mp-29590,,qmof-59219a7,mp-27980,,qmof-62058f7,mp-561423
qmof-f0c1c90,mp-556442,,qmof-8b9a87d,mp-3414,,qmof-62058f7,mp-14276
qmof-f0c1c90,mp-27980,,qmof-8b9a87d,mp-542001,,qmof-62058f7,mp-29590
qmof-55ae928,mp-3414,,qmof-8b9a87d,mp-28845,,qmof-62058f7,mp-556442
qmof-55ae928,mp-542001,,qmof-8b9a87d,mp-561423,,qmof-62058f7,mp-27980
qmof-55ae928,mp-28845,,qmof-8b9a87d,mp-14276,,qmof-625c1df,mp-3414
qmof-55ae928,mp-561423,,qmof-8b9a87d,mp-29590,,qmof-625c1df,mp-542001
qmof-55ae928,mp-14276,,qmof-8b9a87d,mp-556442,,qmof-625c1df,mp-28845
qmof-55ae928,mp-29590,,qmof-8b9a87d,mp-27980,,qmof-625c1df,mp-561423
qmof-55ae928,mp-556442,,qmof-c4cc8a9,mp-3414,,qmof-625c1df,mp-14276
qmof-55ae928,mp-27980,,qmof-c4cc8a9,mp-542001,,qmof-625c1df,mp-29590
qmof-03dce70,mp-3414,,qmof-c4cc8a9,mp-28845,,qmof-625c1df,mp-556442
qmof-03dce70,mp-542001,,qmof-c4cc8a9,mp-561423,,qmof-625c1df,mp-27980
qmof-03dce70,mp-28845,,qmof-c4cc8a9,mp-14276,,qmof-5b20bb3,mp-3414
qmof-03dce70,mp-561423,,qmof-c4cc8a9,mp-29590,,qmof-5b20bb3,mp-542001
qmof-03dce70,mp-14276,,qmof-c4cc8a9,mp-556442,,qmof-5b20bb3,mp-28845
qmof-03dce70,mp-29590,,qmof-c4cc8a9,mp-27980,,qmof-5b20bb3,mp-561423
qmof-03dce70,mp-556442,,qmof-bf9ccaf,mp-3414,,qmof-5b20bb3,mp-14276
qmof-03dce70,mp-27980,,qmof-bf9ccaf,mp-542001,,qmof-5b20bb3,mp-29590
qmof-58a8f42,mp-3414,,qmof-bf9ccaf,mp-28845,,qmof-5b20bb3,mp-556442
qmof-58a8f42,mp-542001,,qmof-bf9ccaf,mp-561423,,qmof-5b20bb3,mp-27980
qmof-58a8f42,mp-28845,,qmof-bf9ccaf,mp-14276,,qmof-d77d3f0,mp-3414
qmof-58a8f42,mp-561423,,qmof-bf9ccaf,mp-29590,,qmof-d77d3f0,mp-542001
qmof-58a8f42,mp-14276,,qmof-bf9ccaf,mp-556442,,qmof-d77d3f0,mp-28845
qmof-58a8f42,mp-29590,,qmof-bf9ccaf,mp-27980,,qmof-d77d3f0,mp-561423
qmof-58a8f42,mp-556442,,qmof-1cc623d,mp-3414,,qmof-d77d3f0,mp-14276
qmof-58a8f42,mp-27980,,qmof-1cc623d,mp-542001,,qmof-d77d3f0,mp-29590
qmof-26670ca,mp-3414,,qmof-1cc623d,mp-28845,,qmof-d77d3f0,mp-556442
qmof-26670ca,mp-542001,,qmof-1cc623d,mp-561423,,qmof-d77d3f0,mp-27980
qmof-26670ca,mp-28845,,qmof-1cc623d,mp-14276,,qmof-523c57d,mp-3414
qmof-26670ca,mp-561423,,qmof-1cc623d,mp-29590,,qmof-523c57d,mp-542001
qmof-26670ca,mp-14276,,qmof-1cc623d,mp-556442,,qmof-523c57d,mp-28845
qmof-26670ca,mp-29590,,qmof-1cc623d,mp-27980,,qmof-523c57d,mp-561423
qmof-26670ca,mp-556442,,qmof-314b14f,mp-3414,,qmof-523c57d,mp-14276
qmof-26670ca,mp-27980,,qmof-314b14f,mp-542001,,qmof-523c57d,mp-29590
qmof-05cc789,mp-3414,,qmof-314b14f,mp-28845,,qmof-523c57d,mp-556442
qmof-05cc789,mp-542001,,qmof-314b14f,mp-561423,,qmof-523c57d,mp-27980
qmof-05cc789,mp-28845,,qmof-314b14f,mp-14276,,qmof-dbdc93d,mp-3414
qmof-05cc789,mp-561423,,qmof-314b14f,mp-29590,,qmof-dbdc93d,mp-542001
qmof-05cc789,mp-14276,,qmof-314b14f,mp-556442,,qmof-dbdc93d,mp-28845
qmof-05cc789,mp-29590,,qmof-314b14f,mp-27980,,qmof-dbdc93d,mp-561423
qmof-05cc789,mp-556442,,qmof-7269376,mp-3414,,qmof-dbdc93d,mp-14276
qmof-05cc789,mp-27980,,qmof-7269376,mp-542001,,qmof-dbdc93d,mp-29590
qmof-a5a3523,mp-3414,,qmof-7269376,mp-28845,,qmof-dbdc93d,mp-556442
qmof-a5a3523,mp-542001,,qmof-7269376,mp-561423,,qmof-dbdc93d,mp-27980
qmof-a5a3523,mp-28845,,qmof-7269376,mp-14276,,qmof-e6adc28,mp-3414
qmof-a5a3523,mp-561423,,qmof-7269376,mp-29590,,qmof-e6adc28,mp-542001
qmof-a5a3523,mp-14276,,qmof-7269376,mp-556442,,qmof-e6adc28,mp-28845
qmof-a5a3523,mp-29590,,qmof-7269376,mp-27980,,qmof-e6adc28,mp-561423
qmof-a5a3523,mp-556442,,qmof-db61142,mp-3414,,qmof-e6adc28,mp-14276
qmof-a5a3523,mp-27980,,qmof-db61142,mp-542001,,qmof-e6adc28,mp-29590
qmof-8333f8b,mp-3414,,qmof-db61142,mp-28845,,qmof-e6adc28,mp-556442
qmof-8333f8b,mp-542001,,qmof-db61142,mp-561423,,qmof-e6adc28,mp-27980
qmof-8333f8b,mp-28845,,qmof-db61142,mp-14276,,qmof-ed987cc,mp-3414
qmof-8333f8b,mp-561423,,qmof-db61142,mp-29590,,qmof-ed987cc,mp-542001
qmof-8333f8b,mp-14276,,qmof-db61142,mp-556442,,qmof-ed987cc,mp-28845
qmof-8333f8b,mp-29590,,qmof-db61142,mp-27980,,qmof-ed987cc,mp-561423
qmof-8333f8b,mp-556442,,qmof-1749614,mp-3414,,qmof-ed987cc,mp-14276
qmof-8333f8b,mp-27980,,qmof-1749614,mp-542001,,qmof-ed987cc,mp-29590
qmof-aa12b02,mp-3414,,qmof-1749614,mp-28845,,qmof-ed987cc,mp-556442
qmof-aa12b02,mp-542001,,qmof-1749614,mp-561423,,qmof-ed987cc,mp-27980
qmof-aa12b02,mp-28845,,qmof-1749614,mp-14276,,qmof-68e1336,mp-3414
qmof-aa12b02,mp-561423,,qmof-1749614,mp-29590,,qmof-68e1336,mp-542001
qmof-aa12b02,mp-14276,,qmof-1749614,mp-556442,,qmof-68e1336,mp-28845
qmof-aa12b02,mp-29590,,qmof-1749614,mp-27980,,qmof-68e1336,mp-561423
qmof-aa12b02,mp-556442,,qmof-7d5de5b,mp-3414,,qmof-68e1336,mp-14276
qmof-aa12b02,mp-27980,,qmof-7d5de5b,mp-542001,,qmof-68e1336,mp-29590
qmof-ee8825a,mp-3414,,qmof-7d5de5b,mp-28845,,qmof-5382407,mp-556442
qmof-ee8825a,mp-542001,,qmof-7d5de5b,mp-561423,,qmof-5382407,mp-27980
qmof-ee8825a,mp-28845,,qmof-7d5de5b,mp-14276,,qmof-4e43b18,mp-3414
qmof-ee8825a,mp-561423,,qmof-7d5de5b,mp-29590,,qmof-4e43b18,mp-542001
qmof-ee8825a,mp-14276,,qmof-7d5de5b,mp-556442,,qmof-4e43b18,mp-28845
qmof-ee8825a,mp-29590,,qmof-7d5de5b,mp-27980,,qmof-4e43b18,mp-561423
qmof-ee8825a,mp-556442,,qmof-ef011df,mp-3414,,qmof-4e43b18,mp-14276
qmof-ee8825a,mp-27980,,qmof-ef011df,mp-542001,,qmof-4e43b18,mp-29590
qmof-b7fb8de,mp-3414,,qmof-ef011df,mp-28845,,qmof-4e43b18,mp-556442
qmof-b7fb8de,mp-542001,,qmof-ef011df,mp-561423,,qmof-4e43b18,mp-27980
qmof-b7fb8de,mp-28845,,qmof-ef011df,mp-14276,,qmof-2bf3de2,mp-3414
qmof-b7fb8de,mp-561423,,qmof-ef011df,mp-29590,,qmof-2bf3de2,mp-542001
qmof-b7fb8de,mp-14276,,qmof-ef011df,mp-556442,,qmof-2bf3de2,mp-28845
qmof-b7fb8de,mp-29590,,qmof-ef011df,mp-27980,,qmof-2bf3de2,mp-561423
qmof-b7fb8de,mp-556442,,qmof-4d0c1e9,mp-3414,,qmof-2bf3de2,mp-14276
qmof-b7fb8de,mp-27980,,qmof-4d0c1e9,mp-542001,,qmof-2bf3de2,mp-29590
qmof-8f5113c,mp-3414,,qmof-4d0c1e9,mp-28845,,qmof-2bf3de2,mp-556442
qmof-8f5113c,mp-542001,,qmof-4d0c1e9,mp-561423,,qmof-2bf3de2,mp-27980
qmof-8f5113c,mp-28845,,qmof-4d0c1e9,mp-14276,,qmof-e2af422,mp-3414
qmof-8f5113c,mp-561423,,qmof-4d0c1e9,mp-29590,,qmof-e2af422,mp-542001
qmof-8f5113c,mp-14276,,qmof-4d0c1e9,mp-556442,,qmof-e2af422,mp-28845
qmof-8f5113c,mp-29590,,qmof-4d0c1e9,mp-27980,,qmof-e2af422,mp-561423
qmof-8f5113c,mp-556442,,qmof-aaa921d,mp-3414,,qmof-e2af422,mp-14276
qmof-8f5113c,mp-27980,,qmof-aaa921d,mp-542001,,qmof-e2af422,mp-29590
qmof-31585f8,mp-3414,,qmof-aaa921d,mp-28845,,qmof-e2af422,mp-556442
qmof-31585f8,mp-542001,,qmof-aaa921d,mp-561423,,qmof-e2af422,mp-27980
qmof-31585f8,mp-28845,,qmof-aaa921d,mp-14276,,qmof-47c6a17,mp-3414
qmof-31585f8,mp-561423,,qmof-aaa921d,mp-29590,,qmof-47c6a17,mp-542001
qmof-31585f8,mp-14276,,qmof-aaa921d,mp-556442,,qmof-8169402,mp-3414
qmof-31585f8,mp-29590,,qmof-aaa921d,mp-27980,,qmof-8169402,mp-542001
qmof-31585f8,mp-556442,,qmof-277fc99,mp-3414,,qmof-8169402,mp-28845
qmof-31585f8,mp-27980,,qmof-277fc99,mp-542001,,qmof-8169402,mp-561423
qmof-a0717aa,mp-3414,,qmof-277fc99,mp-28845,,qmof-8169402,mp-14276
qmof-a0717aa,mp-542001,,qmof-277fc99,mp-561423,,qmof-8169402,mp-29590
qmof-a0717aa,mp-28845,,qmof-277fc99,mp-14276,,qmof-8169402,mp-556442
qmof-a0717aa,mp-561423,,qmof-277fc99,mp-29590,,qmof-8169402,mp-27980
qmof-a0717aa,mp-14276,,qmof-277fc99,mp-556442,,qmof-5382407,mp-28845
qmof-a0717aa,mp-29590,,qmof-277fc99,mp-27980,,qmof-5382407,mp-561423
qmof-a0717aa,mp-556442,,qmof-5382407,mp-3414,,qmof-5382407,mp-14276
qmof-a0717aa,mp-27980,,qmof-5382407,mp-542001,,qmof-5382407,mp-29590
