qmof_id,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.bandgap
qmof-2095c92,0.724757,-2.188438,2.913195
qmof-81886cf,0.333209,-2.622593,2.9558020000000003
qmof-14a36ed,0.507764,-1.448761,1.956525
qmof-e2af422,0.308153,-1.481833,1.789986
qmof-28498f0,0.444121,-2.103777,2.547898
qmof-47c6a17,0.751179,-1.966897,2.718076
qmof-f124941,0.360249,-2.208212,2.568461
qmof-1f7477f,0.472506,-2.267927,2.740433
qmof-25dcace,0.673264,-1.628688,2.301952
qmof-e471501,0.818233,-1.987966,2.806199
qmof-f203c62,0.492298,-2.433996,2.926294
qmof-5b5c508,0.44605,-1.834031,2.280081
qmof-0f178f1,1.6517,-0.0809449999999999,1.7326449999999998
qmof-c1553ca,0.446731,-2.329961,2.776692
qmof-e2ef939,0.309331,-2.183105,2.492436
qmof-08021a9,0.547552,-1.713774,2.261326
qmof-96f2489,0.644293,-1.734645,2.378938
qmof-f0e967a,2.190427,0.436518,1.753909
qmof-8b975ac,0.1750699999999999,-2.618648,2.793718
qmof-e647ae3,1.08573,-1.567869,2.653599
qmof-961be1d,0.318884,-2.464501,2.783385
qmof-c88e03d,0.2019069999999999,-2.161222,2.363129
qmof-f45cbc6,1.394138,-0.620304,2.014442
qmof-59219a7,0.5343789999999999,-1.678304,2.212683
qmof-18e2d2f,0.2368859999999999,-2.687255,2.924141
qmof-5ea5aaa,0.619317,-1.689758,2.309075
qmof-8b9a87d,0.7243299999999999,-2.031845,2.756175
qmof-6542f77,0.87778,-1.533479,2.411259
qmof-16de531,0.481616,-2.326326,2.807942
qmof-c4cc8a9,0.845172,-2.120765,2.9659370000000003
qmof-bf9ccaf,0.519761,-1.256805,1.776566
qmof-1cc623d,0.513122,-2.234098,2.74722
qmof-918e13a,0.439664,-2.184175,2.623839
qmof-314b14f,0.405067,-2.441919,2.846986
qmof-7269376,1.46158,-1.02804,2.48962
qmof-b3220dc,0.3463739999999999,-2.557039,2.903413
qmof-db61142,1.034367,-0.749725,1.784092
qmof-44fa197,0.59977,-1.136212,1.735982
qmof-9e05c25,0.399051,-2.014269,2.41332
qmof-1749614,0.1435719999999999,-2.769791,2.913363
qmof-7d5de5b,1.447839,-0.8702,2.318039
qmof-ef011df,2.05406,-0.517595,2.571655
qmof-4d0c1e9,0.417243,-2.305765,2.723008
qmof-b8bfbdd,0.824902,-1.508205,2.333107
qmof-e381eec,0.241364,-2.378529,2.619893
qmof-aaa921d,0.4047699999999999,-2.412756,2.817526
qmof-277fc99,0.1941639999999999,-1.942591,2.136755
qmof-84d13b7,0.644195,-2.127336,2.771531
qmof-28acf7f,0.593556,-2.049965,2.643521
qmof-8169402,0.606391,-2.189447,2.795838
qmof-dbdc93d,0.206094,-2.532688,2.738782
qmof-9314947,0.188709,-2.66007,2.848779
qmof-e6adc28,0.352253,-2.028583,2.380836
qmof-ed987cc,0.864621,-1.799363,2.663984
qmof-9ef6fed,0.145644,-1.920283,2.065927
qmof-68e1336,1.293993,-1.346417,2.64041
qmof-17e43c6,1.114211,-0.672078,1.786289
qmof-0f515e2,0.22784,-2.276787,2.504627
qmof-3ce4a78,0.1923609999999999,-2.522267,2.714628
qmof-25172f2,1.277638,-1.703347,2.980985
qmof-ba7bac6,0.724315,-1.946578,2.670893
qmof-6a29cfc,0.13043,-2.36633,2.49676
qmof-f5056a0,0.433257,-2.433185,2.866442
qmof-7c0089b,1.131047,-1.002069,2.133116
qmof-7964502,0.238805,-2.674257,2.913062
qmof-0180057,1.276318,-0.518174,1.794492
qmof-bec2181,0.410368,-2.572197,2.982565
qmof-8ec55e0,0.98781,-1.66973,2.65754
qmof-d159ad9,0.915658,-1.025631,1.941289
qmof-55b32f8,0.500692,-1.977295,2.477987
qmof-358ca87,0.3964729999999999,-2.452292,2.848765
qmof-49ea619,0.2798929999999999,-2.473751,2.753644
qmof-b80a30e,1.968565,-0.29501,2.263575
qmof-648d493,1.050303,-0.7347699999999999,1.785073
qmof-0a980e2,0.309215,-2.525992,2.835207
qmof-ca4b8ca,0.508731,-2.066352,2.575083
qmof-e99de19,1.112844,-0.672213,1.785057
qmof-5ce2533,0.327606,-2.32692,2.654526
qmof-24fb653,0.4538149999999999,-1.829753,2.283568
qmof-7163ed4,0.944357,-1.95652,2.900877
qmof-62058f7,0.676743,-2.234364,2.911107
qmof-625c1df,0.379587,-2.104343,2.48393
qmof-5b20bb3,0.618519,-2.153182,2.771701
qmof-d77d3f0,0.293935,-2.641735,2.93567
qmof-77442e8,0.155553,-2.51215,2.667703
qmof-523c57d,2.030712,-0.174166,2.204878
qmof-18ceb78,0.347483,-1.967958,2.315441
qmof-a33f06a,0.601908,-1.921913,2.523821
qmof-b66eff0,0.353439,-2.142514,2.495953
